3x3x3 Cube Combined First Round,Aarun Devgan,AZ 1
3x3x3 Cube Combined First Round,Aidan Costello,NV 5
3x3x3 Cube Combined First Round,Akash Anand,AZ 2
3x3x3 Cube Combined First Round,Albert You,CA 1
3x3x3 Cube Combined First Round,Alex Davani,UT 2
3x3x3 Cube Combined First Round,Alex Johnson,CO 5
3x3x3 Cube Combined First Round,Alex Vogel,NV 2
3x3x3 Cube Combined First Round,Alex Yang,AZ 4
3x3x3 Cube Combined First Round,Alexander Tenev,AZ 1
3x3x3 Cube Combined First Round,Andrew Nathenson,CA 1
3x3x3 Cube Combined First Round,Ansuman Somasundaram,CA 4
3x3x3 Cube Combined First Round,Ant Irizarry,CO 4
3x3x3 Cube Combined First Round,Ashley Gray,NV 3
3x3x3 Cube Combined First Round,Austin Chen,CA 5
3x3x3 Cube Combined First Round,Ben Lemkin,CO 3
3x3x3 Cube Combined First Round,Benson Zou,UT 4
3x3x3 Cube Combined First Round,Bill McGaugh,NV 2
3x3x3 Cube Combined First Round,Brandon Lin,UT 3
